openalex_id,doi,publication_year,journal_short,author_position,n_authors,author_name,first_name_used,country_iso2,gg_country,gender_raw,gender_coded
https://openalex.org/W2884891121,10.1257/aer.20191758,2021,AER,1,4,Chen Zhao,Chen,CN,,andy,undetermined
https://openalex.org/W2884891121,10.1257/aer.20191758,2021,AER,2,4,Zhikuo Liu,Zhikuo,CN,,unknown,undetermined
https://openalex.org/W2884891121,10.1257/aer.20191758,2021,AER,3,4,Juan Carlos Suárez Serrato,Juan,US,usa,male,male
https://openalex.org/W2884891121,10.1257/aer.20191758,2021,AER,4,4,Daniel Yi Xu,Daniel,US,usa,male,male
https://openalex.org/W2887450805,10.1257/aer.20200295,2021,AER,1,4,Lori Beaman,Lori,,,female,female
https://openalex.org/W2887450805,10.1257/aer.20200295,2021,AER,2,4,Ariel BenYishay,Ariel,US,usa,mostly_female,female
https://openalex.org/W2887450805,10.1257/aer.20200295,2021,AER,3,4,Jeremy Magruder,Jeremy,US,usa,male,male
https://openalex.org/W2887450805,10.1257/aer.20200295,2021,AER,4,4,Ahmed Mushfiq Mobarak,Ahmed,US,,male,male
https://openalex.org/W2973701128,10.1257/aer.20200705,2021,AER,1,5,Erica Field,Erica,US,usa,female,female
https://openalex.org/W2973701128,10.1257/aer.20200705,2021,AER,2,5,Rohini Pande,Rohini,US,,female,female
https://openalex.org/W2973701128,10.1257/aer.20200705,2021,AER,3,5,Natalia Rigol,Natalia,,,female,female
https://openalex.org/W2973701128,10.1257/aer.20200705,2021,AER,4,5,Simone Schaner,Simone,US,,female,female
https://openalex.org/W2973701128,10.1257/aer.20200705,2021,AER,5,5,Charity Troyer Moore,Charity,US,usa,female,female
https://openalex.org/W2995374774,10.1257/aer.20191780,2021,AER,1,1,Matt Lowe,Matt,CA,,male,male
https://openalex.org/W3150052525,10.1257/aer.20201112,2022,AER,1,3,Diva Dhar,Diva,GB,,female,female
https://openalex.org/W3150052525,10.1257/aer.20201112,2022,AER,2,3,Tarun Jain,Tarun,IN,india,male,male
https://openalex.org/W3150052525,10.1257/aer.20201112,2022,AER,3,3,Seema Jayachandran,Seema,,,female,female
https://openalex.org/W3150080251,10.1257/aer.20200956,2024,AER,1,4,Panle Jia Barwick,Panle,US,,unknown,undetermined
https://openalex.org/W3150080251,10.1257/aer.20200956,2024,AER,2,4,Shanjun Li,Shanjun,GB,,andy,undetermined
https://openalex.org/W3150080251,10.1257/aer.20200956,2024,AER,3,4,Liguo Lin,Liguo,CN,,andy,undetermined
https://openalex.org/W3150080251,10.1257/aer.20200956,2024,AER,4,4,Eric Zou,Eric,US,usa,male,male
https://openalex.org/W2909598045,10.1257/aer.20191234,2022,AER,1,4,Clément Imbert,Clément,GB,,male,male
https://openalex.org/W2909598045,10.1257/aer.20191234,2022,AER,2,4,Marlon Seror,Marlon,CA,,male,male
https://openalex.org/W2909598045,10.1257/aer.20191234,2022,AER,3,4,Yifan Zhang,Yifan,HK,,andy,undetermined
https://openalex.org/W2909598045,10.1257/aer.20191234,2022,AER,4,4,Yanos Zylberberg,Yanos,GB,,unknown,undetermined
https://openalex.org/W4392295937,10.1257/aer.20221215,2024,AER,1,6,Mark Buntaine,Mark,US,usa,male,male
