openalex_id,author_position,author_name,country_iso2
https://openalex.org/W2884891121,1,Chen Zhao,CN
https://openalex.org/W2884891121,2,Zhikuo Liu,CN
https://openalex.org/W2884891121,3,Juan Carlos Suárez Serrato,US
https://openalex.org/W2884891121,4,Daniel Yi Xu,US
https://openalex.org/W2887450805,1,Lori Beaman,
https://openalex.org/W2887450805,2,Ariel BenYishay,US
https://openalex.org/W2887450805,3,Jeremy Magruder,US
https://openalex.org/W2887450805,4,Ahmed Mushfiq Mobarak,US
https://openalex.org/W2973701128,1,Erica Field,US
https://openalex.org/W2973701128,2,Rohini Pande,US
https://openalex.org/W2973701128,3,Natalia Rigol,
https://openalex.org/W2973701128,4,Simone Schaner,US
https://openalex.org/W2973701128,5,Charity Troyer Moore,US
https://openalex.org/W2995374774,1,Matt Lowe,CA
https://openalex.org/W3150052525,1,Diva Dhar,GB
https://openalex.org/W3150052525,2,Tarun Jain,IN
https://openalex.org/W3150052525,3,Seema Jayachandran,
https://openalex.org/W3150080251,1,Panle Jia Barwick,US
https://openalex.org/W3150080251,2,Shanjun Li,GB
https://openalex.org/W3150080251,3,Liguo Lin,CN
https://openalex.org/W3150080251,4,Eric Zou,US
https://openalex.org/W2909598045,1,Clément Imbert,GB
https://openalex.org/W2909598045,2,Marlon Seror,CA
https://openalex.org/W2909598045,3,Yifan Zhang,HK
https://openalex.org/W2909598045,4,Yanos Zylberberg,GB
https://openalex.org/W4313303421,1,Vasily Korovkin,CZ
https://openalex.org/W4313303421,2,Alexey Makarin,IT
https://openalex.org/W4392295937,1,Mark Buntaine,US
https://openalex.org/W4392295937,2,Michael Greenstone,US
https://openalex.org/W4392295937,3,Guojun He,HK
https://openalex.org/W4392295937,4,Mengdi Liu,CN
https://openalex.org/W4392295937,5,Shaoda Wang,US
https://openalex.org/W4392295937,6,Bing Zhang,CN
https://openalex.org/W4310177461,1,Niklas Engbom,US
https://openalex.org/W4310177461,2,Christian Moser,US
https://openalex.org/W3124765710,1,Mitra Akhtari,
https://openalex.org/W3124765710,2,Diana Moreira,US
https://openalex.org/W3124765710,3,Laura Trucco,
https://openalex.org/W4298012885,1,Susanna Berkouwer,US
https://openalex.org/W4298012885,2,Joshua T. Dean,US
https://openalex.org/W4293568589,1,Mónica Martínez-Bravo,ES
https://openalex.org/W4293568589,2,Gerard Padró i Miquel,US
https://openalex.org/W4293568589,3,Nancy Qian,CA
https://openalex.org/W4293568589,4,Yang Yao,CN
https://openalex.org/W2783385777,1,Reshmaan Hussam,
https://openalex.org/W2783385777,2,Natalia Rigol,
https://openalex.org/W2783385777,3,Benjamin Roth,
https://openalex.org/W3080395694,1,Gene M. Grossman,US
https://openalex.org/W3080395694,2,Elhanan Helpman,US
https://openalex.org/W3080395694,3,Stephen J. Redding,US
https://openalex.org/W4225134649,1,Yiming Cao,US
https://openalex.org/W4225134649,2,Shuo Chen,CN
https://openalex.org/W2953307258,1,Jonas Hjort,US
https://openalex.org/W2953307258,2,Diana Moreira,US
https://openalex.org/W2953307258,3,Gautam Rao,US
https://openalex.org/W2953307258,4,Juan Francisco Santini,UG
https://openalex.org/W4310177458,1,Lucia Corno,JP
https://openalex.org/W4310177458,2,Eliana La Ferrara,IT
https://openalex.org/W4310177458,3,Justine Burns,ZA
https://openalex.org/W2936203654,1,François Gérard,GB
https://openalex.org/W2936203654,2,Joana Naritomi,GB
https://openalex.org/W4283367986,1,Pablo Balán,IL
https://openalex.org/W4283367986,2,Augustin Bergeron,US
https://openalex.org/W4283367986,3,Gabriel Tourek,US
https://openalex.org/W4283367986,4,Jonathan Weigel,US
https://openalex.org/W4200124540,1,M. Chatib Basri,ID
https://openalex.org/W4200124540,2,Mayara Felix,RU
https://openalex.org/W4200124540,3,Rema Hanna,US
https://openalex.org/W4200124540,4,Benjamin Olken,RU
https://openalex.org/W4387096937,1,Ahmad Lashkaripour,US
https://openalex.org/W4387096937,2,Volodymyr Lugovskyy,US
https://openalex.org/W3203280048,1,François Gérard,GB
https://openalex.org/W3203280048,2,Lorenzo Lagos,US
https://openalex.org/W3203280048,3,Edson Severnini,US
https://openalex.org/W3203280048,4,David Card,US
https://openalex.org/W2979844637,1,Tom Lane,CN
https://openalex.org/W2979844637,2,Daniele Nosenzo,DK
https://openalex.org/W2979844637,3,Silvia Sonderegger,GB
https://openalex.org/W4226353405,1,Deniz Aydın,US
https://openalex.org/W4307292943,1,Eliana Carranza,US
https://openalex.org/W4307292943,2,Robert Garlick,US
https://openalex.org/W4307292943,3,Kate Orkin,GB
https://openalex.org/W4307292943,4,Neil Rankin,ZA
https://openalex.org/W4406965573,1,Qiaoyi Chen,CN
https://openalex.org/W4406965573,2,Chen Zhao,CN
https://openalex.org/W4406965573,3,Zhikuo Liu,CN
https://openalex.org/W4406965573,4,Juan Carlos Suárez Serrato,US
https://openalex.org/W4406965573,5,Daniel Yi Xu,US
https://openalex.org/W3197645637,1,Abhijit Banerjee,RU
https://openalex.org/W3197645637,2,Amy Finkelstein,RU
https://openalex.org/W3197645637,3,Rema Hanna,US
https://openalex.org/W3197645637,4,Benjamin Olken,RU
https://openalex.org/W3197645637,5,Arianna Ornaghi,GB
https://openalex.org/W3197645637,6,Sudarno Sumarto,
https://openalex.org/W3174918233,1,Clare Leaver,GB
https://openalex.org/W3174918233,2,Owen Ozier,US
https://openalex.org/W3174918233,3,Pieter Serneels,GB
https://openalex.org/W3174918233,4,Andrew Zeitlin,US
https://openalex.org/W4402923709,1,Eyal Frank,US
https://openalex.org/W4402923709,2,Anant Sudarshan,GB
https://openalex.org/W3201800472,1,Jeffrey Weaver,US
https://openalex.org/W4281753073,1,Rachael Meager,GB
https://openalex.org/W3117522249,1,Pedro Carneiro,
https://openalex.org/W3117522249,2,Lucy Kraftman,
https://openalex.org/W3117522249,3,Giacomo Mason,GB
https://openalex.org/W3117522249,4,Lucie Moore,GB
https://openalex.org/W3117522249,5,Imran Rasul,US
https://openalex.org/W3117522249,6,Molly Scott,GB
https://openalex.org/W4281624977,1,María Micaela Sviatschi,US
https://openalex.org/W4396512506,1,Emma Riley,US
